Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,
Time,Eul-X,Eul-Y,Eul-Z,Accel-X,Accel-Y,Accel-Z,Omega-X,Omega-Y,Omega-Z,Gyro-X,Gyro-Y,Gyro-Z,Tag
2218572,"81,06999969","83,51999664","79,16999817",-296,109,11,"-1,129999995","0,050000001","1,470000029","-1,129999995","-0,200000003","-0,129999995",0
2218618,"77,45999908","79,12000275","77,98999786",-282,75,-10,"-0,800000012","-0,300000012","1,429999948","-0,720000029","-0,200000003","-0,07",0
2218668,"81,81999969","78,55000305","84,15000153",-213,54,-19,"-0,639999986","0,409999996","0,289999992","-0,779999971","-0,02","-0,129999995",0
2218721,"79,37999725","78,12999725","82,79000092",-180,56,6,"-0,389999986","-0,119999997","0,140000001","-0,560000002","-0,610000014","-0,07",0
2218768,"70,26999664","75,88999939","73,15000153",-214,52,30,"0,090000004","-0,850000024","0,5","0,01","-0,870000005","0,140000001",0
2218818,"60,93000031","74,25","63,29000092",-228,37,29,"0,07","-1,139999986","0,159999996","0,100000001","-0,910000026","0,140000001",0
2218896,"51,38000107","74,23999786","54,09000015",-227,44,39,"-0,239999995","-0,730000019","-0,479999989","-0,170000002","-0,790000021","-0,109999999",0
2218923,"40,11000061","73,04000092","42,18999863",-262,57,49,"0,029999999","-0,720000029","-0,340000004","0,129999995","-0,769999981","-0,230000004",0
2218969,"38,79999924","72,81999969","40,63999939",-287,42,44,"0,109999999","-0,289999992","-0,129999995","0,100000001","-0,540000021","-0,239999995",0
2219018,"34,97999954","74,26999664","36,47000122",-300,34,53,"0,07","0,180000007","-0,699999988","0,100000001","-0,330000013","-0,449999988",0
2219075,"28,61000061","75,81999969","29,20999908",-280,2,50,"0,230000004","0,129999995","-0,860000014","0,330000013","-0,209999993","-0,589999974",0
2219119,"17,19000053","78,43000031","17,02000046",-238,-3,39,"0,140000001","0,419999987","-1,070000052","0,360000014","0,159999996","-0,469999999",0
2219171,"9,239999771","79,77999878","8,600000381",-194,-7,23,"0,129999995","0,379999995","-0,730000019","0,319999993","0,219999999","-0,409999996",0
2219221,"-2,170000076","81,45999908","-3,440000057",-163,-25,22,"0,159999996","0,519999981","-0,689999998","0,330000013","0,289999992","-0,449999988",0
2219301,"-21,20999908","81,98000336","-22,75",-245,-42,42,"0,02","0,370000005","-0,910000026","0,090000004","0,319999993","-0,419999987",0
2219324,"-32,00999832","79,29000092","-33,08000183",-298,-41,91,"-0,129999995","-0,370000005","-0,600000024","-0,02","-0,180000007","-0,01",0
2219425,"-29,47999954","77,95999908","-30,28000069",-300,-38,86,"-0,150000006",-1,"-0,140000001","-0,090000004","-0,140000001","0,07",0
"2219,44","-27,37000084","75,83000183","-25,84000015",-320,-46,83,"-0,430000007","-0,449999988","-0,02","-0,360000014","0,150000006","0,100000001",0
2219469,"-28,20000076","75,75","-26,04000092",-308,-41,71,"-0,430000007","-0,029999999","-0,050000001","-0,310000002","0,200000003","0,109999999",0
"2219,53","-27,88999939","75,69000244","-25,12000084",-260,-26,83,"-0,360000014","-0,100000001","0,109999999","-0,239999995","-0,050000001","0,170000002",0
"2219,57","-20,73999977","74,05999756","-17,75",-225,-26,67,"0,01","-0,649999976","0,310000002","-0,189999998","-0,200000003","0,25999999",0
2219621,"-18,79999924","73,48999786","-15,47999954",-249,-25,66,"-0,109999999","-0,319999993","0,180000007","-0,280000001","-0,209999993","0,300000012",0
2219669,"-17,62999916","73,63999939","-13,30000019",-278,-14,74,"-0,310000002","-0,02","0,219999999","-0,49000001","-0,109999999","0,300000012",0
2219723,"-13,01000023","74,02999878","-8,670000076",-282,-7,67,"0,059999999","0,01","0,49000001","-0,189999998","-0,079999998","0,349999994",0
"2219,77","-8,800000191","75,12000275","-4,329999924",-276,-8,58,"0,01","0,280000001","0,430000007","-0,25999999","0,029999999","0,289999992",0
2219819,"-7,53000021","75,87999725","-3,559999943",-256,-7,56,"0,200000003","0,270000011","0,109999999","-0,029999999","-0,029999999","0,119999997",0
2219869,"-6,679999828",76,"-3,539999962",-243,-6,59,"0,300000012","0,039999999","0,01","0,189999998","-0,119999997","0,02",0
2219919,"-5,019999981","75,68000031","-3,25",-228,4,57,"0,469999999","-0,109999999","0,01","0,360000014","-0,150000006","0,029999999",0
2219975,"-1,539999962","75,51999664","-1,220000029",-225,10,61,"0,540000021","-0,07","0,180000007","0,389999986","-0,100000001","0,039999999",0
2220075,"0,730000019","75,52999878","0,059999999",-246,3,62,"0,319999993",0,"0,100000001","0,150000006","0,050000001","-0,079999998",0
2220099,"0,930000007","75,15000153","-1,899999976",-274,-8,73,"0,370000005","-0,07","-0,090000004","0,239999995","-0,100000001","-0,090000004",0
2220141,"0,49000001","74,83000183","-3,039999962",-281,3,71,"0,460000008","-0,219999999","-0,209999993","0,389999986","-0,219999999","0,01",0
2220175,"2,339999914","74,44999695","-2,140000105",-277,17,71,"0,409999996","-0,159999996","0,100000001","0,340000004","-0,25999999","0,079999998",0
2220243,"5,710000038","74,26000214","0,330000013",-258,19,63,"0,5","-0,079999998","0,340000004","0,360000014","-0,200000003","0,100000001",0
2220277,"12,36999989","74,33999634","5,789999962",-247,21,65,"0,360000014","0,079999998","0,379999995","0,219999999","-0,109999999","0,180000007",0
2220327,"14,46000004","74,05999756","7,670000076",-241,21,67,"0,150000006","-0,079999998","0,289999992","0,01","-0,129999995","0,209999993",0
2220383,16,"73,73000336","9,220000267",-247,17,66,"0,02","-0,07","0,180000007","-0,119999997","-0,059999999","0,140000001",0
2220436,"15,32999992","73,63999939","8,680000305",-253,7,76,"-0,039999999","-0,039999999","-0,039999999","-0,159999996","-0,100000001","0,059999999",0
2220484,"12,85999966","73,30000305","6,460000038",-262,7,76,"-0,109999999","-0,159999996","-0,170000002","-0,07","-0,079999998","0,090000004",0
2220538,"11,53999996","73,12999725","5,099999905",-261,8,78,"-0,01","-0,090000004","-0,129999995","0,029999999","-0,109999999","0,090000004",0
"2220,59","10,84000015","72,87999725","4,179999828",-260,15,85,"0,059999999","-0,100000001","-0,07","0,090000004","-0,090000004","0,090000004",0
2220626,"11,14000034","72,31999969","4,170000076",-255,18,81,"0,100000001","-0,180000007","0,029999999","0,100000001","-0,07","0,050000001",0
2220676,"11,65999985","72,23999786","4,519999981",-250,17,80,"0,090000004","-0,029999999","0,059999999","0,07","-0,01","0,029999999",0
2220724,12,"72,36000061","4,829999924",-249,23,79,"0,02","0,050000001","0,02",0,"0,07","0,02",0
2220797,"13,40999985","72,45999908","5,949999809",-253,18,84,"0,129999995","0,059999999","0,109999999","0,039999999","0,090000004","0,01",0
2220825,"13,02000046","72,12999725","4,989999771",-256,15,82,"0,119999997","-0,090000004","-0,050000001","0,079999998","0,02","-0,01",0
2220877,"12,81999969","72,06999969","4,570000172",-257,15,86,"0,129999995","-0,050000001","-0,07","0,100000001","-0,02","0,02",0
"2220,96","12,34000015","71,77999878","3,470000029",-257,17,85,"0,189999998","-0,119999997","-0,090000004","0,159999996","-0,029999999",0,0
2221004,01/11/75,"71,84999847",2,-257,20,84,"0,170000002",0,"-0,100000001","0,129999995","0,039999999","-0,050000001",0
2221031,"12,21000004","71,80999756","1,950000048",-258,20,81,"0,200000003","-0,02",0,"0,150000006",0,"-0,029999999",0
2221079,"12,53999996","71,84999847","1,960000038",-252,19,79,"0,209999993","0,029999999",0,"0,150000006","-0,01","-0,02",0
2221125,"13,05000019","72,12000275","2,049999952",-250,20,79,"0,150000006","0,100000001","-0,01","0,100000001","0,059999999","-0,01",0
2221175,"13,51000023","72,33999634","2,190000057",-255,21,79,"0,119999997","0,079999998",0,"0,059999999","0,090000004","-0,01",0
2221226,"13,59000015","72,5","1,950000048",-257,17,82,"0,109999999","0,050000001","-0,039999999","0,050000001","0,050000001","-0,050000001",0
2221275,"12,97999954","72,54000092","1,159999967",-259,17,80,"0,050000001",0,"-0,079999998","0,02","0,050000001","-0,02",0
2221325,"12,64000034","72,58000183","0,620000005",-252,17,77,"0,059999999",0,"-0,059999999","0,029999999","0,01","-0,01",0
2221375,"12,36999989","72,72000122","0,219999999",-251,19,70,"0,039999999","0,039999999","-0,050000001",0,"0,029999999","-0,02",0
